"rk",tier,"name",team,"pos","bye","sos","vs"
"162",10,"Quentin Johnston",LAC,"WR64","12","3 out of 5 stars","-12"
"163",10,"Jerome Ford",CLE,"RB52","9","4 out of 5 stars","+44"
"164",10,"Tre Harris",LAC,"WR65","12","3 out of 5 stars","-60"
"165",10,"Kyle Williams",NE,"WR66","14","3 out of 5 stars","-43"
"166",10,"Blake Corum",LAR,"RB53","8","3 out of 5 stars","+45"
"167",10,"Roschon Johnson",CHI,"RB54","5","3 out of 5 stars","-3"
"168",10,"Xavier Legette",CAR,"WR67","14","4 out of 5 stars","-9"
"169",10,"DeMario Douglas",NE,"WR68","14","3 out of 5 stars","+6"
"170",10,"J.K. Dobbins",DEN,"RB55","12","2 out of 5 stars","-40"
"171",10,"Philadelphia Eagles",PHI,"DST2","9","2 out of 5 stars","-"
"172",10,"Jaydon Blue",DAL,"RB56","10","2 out of 5 stars","-34"
"173",10,"Cameron Ward",TEN,"QB27","10","2 out of 5 stars","-8"
"174",10,"DeAndre Hopkins",BAL,"WR69","7","3 out of 5 stars","+15"
"175",10,"Jalen Coker",CAR,"WR70","14","4 out of 5 stars","+28"
"176",10,"Pittsburgh Steelers",PIT,"DST3","5","3 out of 5 stars","-"
"177",10,"Baltimore Ravens",BAL,"DST4","7","3 out of 5 stars","-"
"178",10,"MarShawn Lloyd",GB,"RB57","5","4 out of 5 stars","+18"
"179",11,"Jack Bech",LV,"WR71","8","4 out of 5 stars","-32"
"180",11,"Minnesota Vikings",MIN,"DST5","6","2 out of 5 stars","-"
"181",11,"Joshua Palmer",BUF,"WR72","7","3 out of 5 stars","-26"
"182",11,"Mike Gesicki",CIN,"TE21","10","2 out of 5 stars","-6"
"183",11,"Jayden Higgins",HOU,"WR73","6","4 out of 5 stars","-84"
"184",11,"Kansas City Chiefs",KC,"DST6","10","1 out of 5 stars","-"
"185",11,"Isaiah Likely",BAL,"TE22","7","3 out of 5 stars","-39"
"186",11,"Michael Wilson",ARI,"WR74","8","4 out of 5 stars","0"
"187",11,"Buffalo Bills",BUF,"DST7","7","5 out of 5 stars","-"
"188",11,"Houston Texans",HOU,"DST8","6","2 out of 5 stars","-"
"189",11,"Cade Otton",TB,"TE23","9","3 out of 5 stars","-6"
"190",11,"Alec Pierce",IND,"WR75","11","4 out of 5 stars","-13"
"191",11,"Brandon Aubrey",DAL,"K1","10","4 out of 5 stars","-"
"192",11,"Anthony Richardson Sr.",IND,"QB28","11","3 out of 5 stars","+10"
"193",11,"Jaleel McLaughlin",DEN,"RB58","12","2 out of 5 stars","+90"
"194",11,"Detroit Lions",DET,"DST9","8","1 out of 5 stars","-"
"195",11,"Jake Bates",DET,"K2","8","1 out of 5 stars","-"
"196",11,"Cameron Dicker",LAC,"K3","12","5 out of 5 stars","-"
"197",11,"Los Angeles Chargers",LAC,"DST10","12","5 out of 5 stars","-"
"198",11,"Justice Hill",BAL,"RB59","7","4 out of 5 stars","-16"
"199",11,"Dontayvion Wicks",GB,"WR76","5","2 out of 5 stars","+16"
"200",11,"Adonai Mitchell",IND,"WR77","11","4 out of 5 stars","+16"
"201",11,"Dalton Schultz",HOU,"TE24","6","3 out of 5 stars","-4"
"202",11,"Devin Neal",NO,"RB60","11","4 out of 5 stars","+31"
"203",11,"Chig Okonkwo",TEN,"TE25","10","3 out of 5 stars","-10"
"204",11,"Andrei Iosivas",CIN,"WR78","10","3 out of 5 stars","-5"
"205",11,"Wil Lutz",DEN,"K4","12","5 out of 5 stars","-"
"206",11,"New York Jets",NYJ,"DST11","9","5 out of 5 stars","-"
"207",11,"Keenan Allen",FA,"WR79","-","-","-23"
"208",11,"Brenton Strange",JAC,"TE26","8","3 out of 5 stars","-42"
"209",11,"Green Bay Packers",GB,"DST12","5","2 out of 5 stars","-"
"210",11,"Seattle Seahawks",SEA,"DST13","8","3 out of 5 stars","-"
"211",11,"Chris Boswell",PIT,"K5","5","1 out of 5 stars","-"
"212",11,"Los Angeles Rams",LAR,"DST14","8","3 out of 5 stars","-"
"213",11,"Kareem Hunt",KC,"RB61","10","2 out of 5 stars","-3"
"214",11,"Ka'imi Fairbairn",HOU,"K6","6","3 out of 5 stars","-"
"215",11,"Nick Chubb",HOU,"RB62","6","2 out of 5 stars","-36"
"216",11,"Chase McLaughlin",TB,"K7","9","3 out of 5 stars","-"
"217",11,"Evan McPherson",CIN,"K8","10","1 out of 5 stars","-"
"218",11,"Aaron Rodgers",PIT,"QB29","5","4 out of 5 stars","-37"
"219",11,"Darius Slayton",NYG,"WR80","14","2 out of 5 stars","-24"
"220",11,"Audric Estime",DEN,"RB63","12","2 out of 5 stars","+54"
"221",11,"Mason Taylor",NYJ,"TE27","9","3 out of 5 stars","-36"
"222",11,"Harrison Butker",KC,"K9","10","3 out of 5 stars","-"
"223",11,"Devaughn Vele",DEN,"WR81","12","3 out of 5 stars","+30"
"224",11,"Cole Kmet",CHI,"TE28","5","4 out of 5 stars","+18"
"225",12,"Dylan Sampson",CLE,"RB64","9","4 out of 5 stars","-24"
"226",12,"Jaylin Noel",HOU,"WR82","6","4 out of 5 stars","-46"
"227",12,"Kendre Miller",NO,"RB65","11","4 out of 5 stars","+18"
"228",12,"Tyler Bass",BUF,"K10","7","2 out of 5 stars","-"
"229",12,"Russell Wilson",NYG,"QB30","14","1 out of 5 stars","-15"
"230",12,"Elic Ayomanor",TEN,"WR83","10","4 out of 5 stars","-11"
"231",12,"Ja'Tavion Sanders",CAR,"TE29","14","4 out of 5 stars","-23"
"232",12,"Jason Sanders",MIA,"K11","12","2 out of 5 stars","-"
"233",12,"Jake Elliott",PHI,"K12","9","2 out of 5 stars","-"
"234",12,"Tyler Lockett",TEN,"WR84","10","4 out of 5 stars","-22"
"235",12,"Jalen Tolbert",DAL,"WR85","10","2 out of 5 stars","-6"
"236",12,"DJ Giddens",IND,"RB66","11","2 out of 5 stars","-45"
"237",12,"Kayshon Boutte",NE,"WR86","14","3 out of 5 stars","+24"
"238",12,"Brandin Cooks",NO,"WR87","11","4 out of 5 stars","+54"
"239",12,"Calvin Austin III",PIT,"WR88","5","4 out of 5 stars","-45"
"240",12,"Amari Cooper",FA,"WR89","-","-","-17"
"241",12,"Antonio Gibson",NE,"RB67","14","4 out of 5 stars","+108"
"242",12,"Younghoe Koo",ATL,"K13","5","4 out of 5 stars","-"
"243",12,"San Francisco 49ers",SF,"DST15","14","5 out of 5 stars","-"
"244",12,"Diontae Johnson",CLE,"WR90","9","2 out of 5 stars","-18"
"245",12,"Dallas Cowboys",DAL,"DST16","10","0 out of 5 stars","-"
"246",12,"Miles Sanders",DAL,"RB68","10","2 out of 5 stars","-58"
"247",12,"Juwan Johnson",NO,"TE30","11","3 out of 5 stars","-47"
"248",12,"Kenneth Gainwell",PIT,"RB69","5","4 out of 5 stars","+102"
"249",12,"Elijah Mitchell",KC,"RB70","10","2 out of 5 stars","+11"
"250",12,"Jalen Royals",KC,"WR91","10","3 out of 5 stars","-14"
"251",12,"Elijah Moore",BUF,"WR92","7","3 out of 5 stars","-23"
"252",12,"Raheem Mostert",LV,"RB71","8","2 out of 5 stars","-34"
"253",12,"Tampa Bay Buccaneers",TB,"DST17","9","3 out of 5 stars","-"
"254",12,"Devin Singletary",NYG,"RB72","14","3 out of 5 stars","+60"
"255",12,"Kyle Monangai",CHI,"RB73","5","3 out of 5 stars","-28"
"256",12,"Mike Williams",LAC,"WR93","12","3 out of 5 stars","+1"
"257",12,"Elijah Arroyo",SEA,"TE31","8","4 out of 5 stars","-32"
"258",12,"Ollie Gordon II",MIA,"RB74","12","4 out of 5 stars","+21"
"259",12,"Nick Westbrook-Ikhine",MIA,"WR94","12","3 out of 5 stars","+14"
"260",12,"Roman Wilson",PIT,"WR95","5","4 out of 5 stars","-38"
"261",12,"Keaton Mitchell",BAL,"RB75","7","4 out of 5 stars","-52"
"262",12,"Malik Washington",MIA,"WR96","12","3 out of 5 stars","-4"
"263",12,"Trevor Etienne",CAR,"RB76","14","3 out of 5 stars","+15"
"264",12,"Noah Gray",KC,"TE32","10","3 out of 5 stars","-29"
"265",12,"Cleveland Browns",CLE,"DST18","9","3 out of 5 stars","-"
"266",12,"Harold Fannin Jr.",CLE,"TE33","9","3 out of 5 stars","+3"
"267",12,"Joshua Karty",LAR,"K14","8","2 out of 5 stars","-"
"268",12,"Taysom Hill",NO,"TE34","11","3 out of 5 stars","-34"
"269",12,"Noah Fant",SEA,"TE35","8","4 out of 5 stars","+21"
"270",12,"Will Shipley",PHI,"RB77","9","3 out of 5 stars","-92"
"271",12,"Matt Gay",WAS,"K15","12","3 out of 5 stars","-"
"272",12,"Pat Bryant",DEN,"WR97","12","3 out of 5 stars","-109"
"273",13,"Zack Moss",CIN,"RB78","10","4 out of 5 stars","-7"
"274",13,"Ty Johnson",BUF,"RB79","7","4 out of 5 stars","-23"
"275",13,"Daniel Jones",IND,"QB31","11","3 out of 5 stars","-85"
"276",13,"Kimani Vidal",LAC,"RB80","12","2 out of 5 stars","+41"
"277",13,"Tim Patrick",DET,"WR98","8","3 out of 5 stars","+22"
"278",13,"Khalil Herbert",IND,"RB81","11","2 out of 5 stars","+37"
"279",13,"Dyami Brown",JAC,"WR99","8","4 out of 5 stars","-92"
"280",13,"Sincere McCormick",LV,"RB82","8","2 out of 5 stars","-"
"281",13,"Tahj Brooks",CIN,"RB83","10","4 out of 5 stars","-60"
"282",13,"Xavier Restrepo",TEN,"WR100","10","4 out of 5 stars","-1"
"283",13,"Parker Washington",JAC,"WR101","8","4 out of 5 stars","+1"
"284",13,"Jarquez Hunter",LAR,"RB84","8","3 out of 5 stars","-92"
"285",13,"Sean Tucker",TB,"RB85","9","3 out of 5 stars","-47"
"286",13,"Gabe Davis",FA,"WR102","-","-","+55"
"287",13,"Tyler Shough",NO,"QB32","11","5 out of 5 stars","-82"
"288",13,"Jalen Nailor",MIN,"WR103","6","2 out of 5 stars","-25"
"289",13,"Jaxson Dart",NYG,"QB33","14","1 out of 5 stars","-72"
"290",13,"Alexander Mattison",MIA,"RB86","12","4 out of 5 stars","+44"
"291",13,"Tre Tucker",LV,"WR104","8","4 out of 5 stars","-45"
"292",13,"Theo Johnson",NYG,"TE36","14","2 out of 5 stars","-79"
"293",13,"Isaiah Davis",NYJ,"RB87","9","5 out of 5 stars","-4"
"294",13,"Brashard Smith",KC,"RB88","10","2 out of 5 stars","-90"
"295",13,"Woody Marks",HOU,"RB89","6","2 out of 5 stars","-10"
"296",13,"Chicago Bears",CHI,"DST19","5","2 out of 5 stars","-"
"297",13,"Dameon Pierce",HOU,"RB90","6","2 out of 5 stars","+30"
"298",13,"Joe Flacco",CLE,"QB34","9","2 out of 5 stars","-57"
"299",13,"Christian Watson",GB,"WR105","5","2 out of 5 stars","-17"
"300",13,"Daniel Carlson",LV,"K16","8","3 out of 5 stars","-"
"301",13,"Luke McCaffrey",WAS,"WR106","12","3 out of 5 stars","-8"
"302",13,"Jordan James",SF,"RB91","14","3 out of 5 stars","-54"
"303",13,"Will Dissly",LAC,"TE37","12","3 out of 5 stars","-53"
"304",13,"Terrance Ferguson",LAR,"TE38","8","4 out of 5 stars","-80"
"305",13,"Tory Horton",SEA,"WR107","8","3 out of 5 stars","-65"
"306",13,"Damien Martinez",SEA,"RB92","8","3 out of 5 stars","+17"
"307",13,"Ty Chandler",MIN,"RB93","6","3 out of 5 stars","+46"
"308",13,"Chris Brooks",GB,"RB94","5","4 out of 5 stars","+63"
"309",13,"Tez Johnson",TB,"WR108","9","3 out of 5 stars","+15"
"310",13,"Miami Dolphins",MIA,"DST20","12","2 out of 5 stars","-"
"311",13,"Shedeur Sanders",CLE,"QB35","9","2 out of 5 stars","-74"
"312",13,"Jason Myers",SEA,"K17","8","5 out of 5 stars","-"
"313",13,"Oronde Gadsden II",LAC,"TE39","12","3 out of 5 stars","-64"
"314",13,"Raheim Sanders",LAC,"RB95","12","2 out of 5 stars","-"
"315",13,"Ben Sinnott",WAS,"TE40","12","3 out of 5 stars","-72"
"316",13,"Chris Rodriguez Jr.",WAS,"RB96","12","2 out of 5 stars","+14"
"317",13,"Emanuel Wilson",GB,"RB97","5","4 out of 5 stars","-50"
"318",13,"John Metchie III",HOU,"WR109","6","4 out of 5 stars","-"
